eset	rnaseq
10	6.80209156546789	-3.90254886300493
100	7.92927189591208	2.85384062809676
1000	8.27052260511929	-0.91384339899761
10000	6.85362791109842	1.81672578509224
10001	8.62388072868612	1.66750967156031
10003	6.96523460472746	-3.20397666972848
10004	7.14382566156771	-0.672327215655107
10005	7.33868841226193	2.77221500684374
10006	8.05682962480081	3.31173774746799
10007	10.0875491861743	3.03270273670987
10008	6.75691254620188	0.685600731923513
10009	10.135551668452	1.03699108777897
1001	9.03345169072401	4.8392361382767
10010	7.67679889486219	3.85404601524689
100101467	6.84667452651564	1.5862466442695
10011	7.76943156508997	3.70581705182531
100129654	6.95604208069546	-3.74902460693973
100129827	6.7538642613222	-2.73099899257897
10013	7.86527605528219	4.09082299195742
100130717	6.91153620707315	-0.297941906842986
100130889	6.75171798157835	-3.40126087010696
100130967	6.79724684716191	-1.04134744271251
100131138	6.89221038287105	-4.09440302930243
100131211	6.84518684516788	-0.382589902656747
100131213	6.9252749608521	-0.279763184147274
10014	6.88620142118101	4.06606140137325
10015	7.62071025076167	3.26489392224935
10017	6.78772584123035	-2.18058596337602
100170841	7.58663024776702	1.21478809236756
10018	6.88301604088787	1.5189611453316
10019	8.90425631612703	2.10461643205527
1002	6.7344195580995	0.479662836938529
10020	8.52688168896402	2.0530493347622
10021	7.23132682476247	-2.46232678866496
10022	6.89768124393291	-5.12420542472156
10023	6.82853900003576	-0.0686346355404921
10024	7.56683219760923	3.55766048031149
10025	8.65366822428247	3.93798927132041
10026	9.0837194207373	1.05631721083875
100287569	6.88116262699886	0.707638098118511
100287932	9.19954851541616	4.43018149053783
100289635	7.07116018717854	1.67025933490845
1003	7.95843359402671	2.51896561111169
10036	7.1928283781344	3.66866693210352
10038	7.85751752084544	2.46565848672504
10039	8.40918493700034	2.41969090173191
1004	6.87368880855681	-1.5587389610397
10042	7.45808733042123	4.05370529250836
10044	6.97156477632323	3.22761754704628
10045	6.9977408555913	3.25245675554709
10046	7.19376659521537	1.29297939049104
10048	7.3769874598605	3.14530692305359
10049	9.55196139111876	4.85675339351307
1005	6.74675992813859	-5.1805577708187
10050	6.74336904230223	-3.2628225059288
100507290	6.83141162851203	3.44038532519467
100507436	7.37396258249577	1.18654571499404
10051	7.92165295147728	4.92620884240853
10052	9.60210766434302	1.14121666506659
10053	7.60993393350109	4.60304962932624
10054	7.89999317239252	4.51805844520711
10056	6.78209986387401	3.39654566299099
10057	7.53317896788931	2.9918726659669
10059	8.45865547289588	3.7603295152293
1006	6.74263013970589	-4.10014520673441
10060	6.92977468776534	3.25873021918489
10061	7.35084180927607	3.12146576132661
10062	9.06396399018594	3.43519959007915
10066	7.23576851103261	3.88036548011501
10067	8.76125700163398	4.74987046185716
10068	7.43771565781915	3.08088139476826
10069	7.21277714351752	2.20657735991733
10071	6.77994368524301	-4.71543808163234
10072	7.53619495101709	3.46848176991466
10073	8.35470050591306	3.09986709550486
10075	7.75594402205026	3.34125963636716
10076	7.52843610650049	3.93857829011965
10077	6.8651717453265	-0.241780006745904
10078	8.71778792232916	4.22090603021033
10079	8.13318709262094	2.18078023901915
1008	6.77698243174548	-6.18435880365637
10081	10.9063825425206	3.55944349275185
10082	8.28253497525494	-0.838451876661935
10083	6.70504675442451	0.604941104269447
10084	7.74600700881244	5.23632150452762
10087	7.65407041465807	1.273538865694
10089	6.85507264896961	-0.787929872744776
1009	10.9889531781079	2.11872168417436
10090	7.2795696279459	0.234662011507169
10092	12.1908917402769	5.45779825680483
10097	8.22276488107123	4.74690118042518
10098	7.63886731726688	1.44256048652776
10099	9.58714571863845	3.52775072008939
101	7.314492088523	3.00649420152897
1010	6.75166403245395	0.566525879280321
10100	6.92696706853408	0.362784670176436
10101	7.37213298623119	5.63224956927689
10103	7.33402740079001	0.756108159856208
10105	7.03738574248892	4.18677330984688
10106	8.62956066596069	3.9762809177131
10109	8.61527190682429	6.39431139490326
10110	6.74541775103386	-0.0695553403041468
10111	7.18948831947575	3.57578159076017
10112	8.22694740809516	2.86802717067685
10113	8.39987014358386	4.10264616995943
10114	6.95525914351541	2.19757437212939
10116	7.15330334064055	1.84430421243018
10117	6.75757898718355	-4.99411079727782
10120	8.54852375142036	4.60559523618218
10121	9.30316384519109	4.48575843297824
10123	7.42286523709792	4.3345106497875
10125	8.12030030635146	0.0780759082404488
10126	9.72466780268548	3.24261194876307
10128	8.7379776687553	3.1356770069079
10129	6.9857643905971	-0.510662240186331
10130	9.11614626247897	5.55688556627157
10131	8.72179002158391	5.33454567277378
10133	9.55932088599242	3.95173581398369
10134	11.3709598116052	6.20080313856786
10135	8.49917910595019	3.11464666273471
10138	7.09332613987589	1.42124695728448
10139	6.94418421830476	3.66056425192277
1014	6.78799495617721	-5.22155917623694
10140	9.76824597872415	3.52780170559185
10142	7.03593770791479	5.03623724656842
10143	6.99555855514477	-4.64105776727986
10144	7.09264061534815	0.850179923102501
10146	8.55779988378911	3.39466991216012
10147	7.81785963161396	3.55984009640282
10148	7.28500051392604	0.860627264498172
10149	7.48506204858285	0.102300123605373
1015	6.78536484875252	-2.66108414069932
10150	8.78280722945906	3.05689185710185
10152	7.8995577928692	2.54213294420253
10153	10.4199228065191	3.7253216093754
10154	7.08473496681798	1.16754750255361
10155	8.55721280237141	6.84552233145848
10157	6.94502147345271	1.42252579027183
10158	7.8887726844045	5.1173298026035
1016	6.73366186393022	-1.83840039001034
10160	7.52834750285885	4.80548750262403
10161	8.33616864206658	1.8997616961345
10162	8.8524953834963	3.75454548946919
10163	7.76744447331902	4.95580671205186
10164	7.03860592016021	-1.72870826244884
10165	9.47947939395864	1.90544336814768
10168	7.12357116121938	1.03985659179858
10170	7.11269270095261	-1.4758380581532
10171	7.75149035616041	2.07770957978992
10172	8.02398773419597	0.421740394055549
10174	7.40706140192841	5.28490326596934
10175	10.119719572369	3.28155711615986
10178	6.76349741447474	-3.51788454288059
10179	8.59513620498908	1.1588677041536
10180	8.20647142882971	4.65157160492968
10181	9.21020101449739	4.40467248850762
10184	9.55155993613699	1.97365009568068
10186	9.1161405301156	2.68499984698971
10188	7.62281286380153	5.5838800294619
10189	9.10163239526164	4.79266339407714
1019	10.5693133477371	4.94116503607135
10190	7.98519414697637	2.02174193849487
10193	7.04905510458099	2.57132154295528
10194	8.24169762581377	-0.908286049596014
10195	9.32182519792607	4.88041680857701
10196	8.96522627773265	1.66817022915831
10198	7.42853483552415	0.33345748279598
10199	8.42434248985467	4.18201483369252
102	7.73878859673761	2.10672101075549
1020	8.00645612042491	2.93645026125137
10201	7.38849304789788	0.671433173391492
10202	7.04884972590531	-0.526131596679979
10203	7.88942836537142	0.29726505612427
10204	8.64620231548562	5.51659316730293
10205	8.61194341270943	3.22544001281974
10207	6.97567768968419	2.84652433265111
10208	8.24387459234691	1.47518772098557
10209	11.7284626353125	6.32436291818202
1021	9.27839016181051	1.76117711453219
10210	7.40757943433783	3.09366554574175
10211	9.41404557704873	3.18676992853766
10212	10.6195611277707	5.69642098495502
10213	10.5490564097032	3.91792145874713
10214	6.83729125518492	-6.0533944488722
10215	6.78817116412267	-4.60145495825062
10216	7.06354968630712	-0.524168177615696
10217	8.97704902673796	3.32077271276158
10218	6.74917811453918	-2.83034268750088
10219	7.00070628827287	-0.532972722105413
10220	7.24438004079881	0.273259604535168
10221	10.073758529336	3.51968823840175
10224	6.80644487883488	0.649816847533485
10225	7.70719028295459	0.899438565148676
10226	11.3944923685812	4.63825665720825
10227	10.7249877289512	5.77757749654556
10228	9.21185072414954	2.73646938427653
10229	7.20315740229236	1.24907868536329
10231	7.68672159556306	0.667087869939007
10232	8.52352226402101	5.67352616518268
10233	6.99515659465492	1.47271164996091
10234	7.36750692654273	-0.137011428459626
10235	6.95968043739033	2.83545664300383
10236	9.62384842491979	3.17773630623631
10238	9.64231084562697	3.8387161704066
10241	7.8414871026121	3.19364742290191
10242	6.90258359702214	-3.06005770603429
10243	7.22480020724777	0.384254915842471
10244	10.2560397415659	2.71265532416484
10245	8.34652936261425	4.64652064742231
10247	8.40175515307243	3.35910407574878
10248	8.2098372649771	4.60656517755812
10249	6.76863309521898	-3.82153062921526
1025	8.20222246596937	4.23615761513903
10251	6.69875801447936	-2.95480550575969
10252	8.7416528775882	2.66798295709776
10253	9.19001005771318	1.86612263772446
10254	7.94084838572684	0.967274904619772
10255	6.66126591765512	-5.6535989488968
10256	7.11791283560214	4.18712782802571
10257	7.78364578234774	-0.496951388172134
1026	8.54317133214763	4.45330618837291
10260	7.22367701260992	-0.13881837844018
10262	10.7360197997977	5.3274921977675
10263	7.94131103519302	4.98513875599253
10265	9.14966741056158	4.32392732499393
10267	7.13131415144497	1.97527984511886
10268	7.33469746490501	2.73407065278905
10269	11.0865053317696	2.93866360258742
1027	9.25975075558394	3.37192364647713
10270	7.78359996724903	3.23174584900391
10272	7.64272600343792	2.94040916981824
10274	8.48913398744031	1.90799246879618
10276	9.10774002873638	4.26088350580451
10277	8.6669541165625	2.28005254506624
10278	7.50293355488615	4.5910272223186
10279	7.29599172269113	1.45643024580497
10280	7.93830402804279	5.48700140224157
10282	7.60523167884133	1.3530799453965
10283	8.97158688897991	2.61687214761916
10284	7.2848510404494	3.83917905509191
10285	9.4349220345462	2.79130275559852
10286	7.77556251237216	3.06305364011229
10287	8.55374396399842	3.84234498964993
10288	7.06015236084559	1.5067696441476
10289	10.264774783371	2.9994133020295
1029	7.43926750585182	5.96122111736971
10291	7.30047018788913	3.40525136908188
10293	6.92013717539063	1.48488390473272
10294	10.4891971953644	3.08691745326669
10295	10.3731943604153	4.06442472135029
10296	8.52201201916291	4.05422607352557
10297	6.75830815829796	-1.32989118754133
10298	7.75777164619929	5.94370231577298
10299	9.25499718545407	3.13362488263388
1030	7.62323164111835	2.92111749492408
10300	8.14175273213959	3.09523169424732
