eset	rnaseq
339451	7.21601141075983	3.6345825591109
84069	7.39207904597402	3.81827452934988
9636	7.64397170115471	7.13641332087514
375790	7.92992510131465	6.33378079587393
254173	7.67664062023221	0.354192828844187
6339	6.72045165691946	2.86949172876726
80772	7.65427066945588	4.68751729101789
64856	8.34943073310991	4.99581071131838
142678	7.39516494245708	5.03339713595372
163688	6.07684223206557	0.649949711748212
2563	7.50461455711612	0.490606519812709
6497	9.11079765381858	3.99476653355663
11079	9.68293133719794	3.73078152141528
9651	7.24063660258296	1.77509077567313
127281	7.99315573222172	3.73361470779512
63976	6.28899703245915	-2.5687550167351
27237	6.90452551102817	3.11534902028506
127262	9.05160633479617	3.4229156180962
7161	7.07343405150864	0.112367222422914
1677	7.2406088244634	1.28196869720519
55966	5.38432402057708	-2.50373293868945
8514	7.8798526454014	3.0153369667572
388591	6.61119263051692	2.15135656844096
80835	5.99959190394155	-2.59538291480884
3104	6.56227979132188	3.33372019992023
148479	7.49699071919284	2.20677646755181
23261	7.3802109378395	4.50289367475028
9341	10.0442437436285	3.48919621760276
8863	7.52121618674995	1.29232934728223
11315	10.8693314110792	5.85894058381199
50651	6.41692470951498	-0.797454429516075
765	5.83276948184671	0.503264375841749
9563	8.06000832914721	2.93891960681435
199953	6.76066347092752	2.84058804710706
5293	7.13343139191875	2.15260442239223
64802	6.0387105176231	3.14292630707165
116362	7.26836956441802	3.19382037464816
10277	8.33994997072731	2.28005254506624
23095	8.26905487596015	2.48100475663327
5195	7.47151958766058	3.61168420957283
23435	9.64858597304975	3.95712469743843
10218	4.9971853297512	-2.83034268750088
29914	8.73994801969384	1.78161938805638
57540	6.30442272630481	-1.24376895119169
93611	7.05691514139686	3.49797660838768
26270	7.89618500050943	3.74055726572756
374946	7.20157942261444	-0.775106104631787
1185	7.46051894950066	1.19004393478598
5351	9.47134889119794	6.62682076574302
9927	9.26251817625231	3.59632895808903
943	7.12249748056071	-0.983875345051319
7133	7.75708789741304	3.10909811614472
55187	8.04243924323304	0.997927707353943
10630	8.23880564163942	1.47098152527945
7799	7.83075344245138	2.87083078313208
23254	7.23127923929123	2.9504049748477
55092	7.19760579836953	3.02200891778921
