eset	rnaseq
10	4.68371186909503	-3.90254886300493
100	7.60782044102587	2.85384062809676
1000	6.01172938461269	-0.91384339899761
10000	7.57753057460563	1.81672578509224
10001	7.32331930757297	1.66750967156031
10003	3.69255508957051	-3.20397666972848
10004	6.97069545051802	-0.672327215655107
10005	7.32277288164977	2.77221500684374
10006	9.17155076327512	3.31173774746799
10007	8.34901511599837	3.03270273670987
10008	6.62004249944827	0.685600731923513
10009	8.7858676573913	1.03699108777897
1001	10.5579704583482	4.8392361382767
10010	9.63353399962339	3.85404601524689
100101467	6.91062368209641	1.5862466442695
10011	7.9566923340004	3.70581705182531
100129654	3.46092547670484	-3.74902460693973
100129827	6.4648631556396	-2.73099899257897
10013	8.2117241796537	4.09082299195742
100130717	4.75525806301207	-0.297941906842986
100130889	4.44399942133607	-3.40126087010696
100130967	3.82113604365931	-1.04134744271251
100131138	3.84563458014184	-4.09440302930243
100131211	5.640242268237	-0.382589902656747
100131213	6.37463346667509	-0.279763184147274
10014	7.19281597280375	4.06606140137325
10015	9.37745367070122	3.26489392224935
10017	5.13238777904501	-2.18058596337602
100170841	7.42295146034607	1.21478809236756
10018	8.07085316680837	1.5189611453316
10019	7.27421507574314	2.10461643205527
1002	5.96817435775454	0.479662836938529
10020	6.7801858140945	2.0530493347622
10021	5.13388900512255	-2.46232678866496
10022	4.09834552734555	-5.12420542472156
10023	5.66918024424337	-0.0686346355404921
10024	7.2239220549159	3.55766048031149
10025	6.79627972744607	3.93798927132041
10026	7.89379763074177	1.05631721083875
100287569	5.03921464297836	0.707638098118511
100287932	4.14209609883821	4.43018149053783
100289635	5.64672906708981	1.67025933490845
1003	5.95167127159461	2.51896561111169
10036	7.00861707537482	3.66866693210352
10038	7.90790592528219	2.46565848672504
10039	6.68272804178724	2.41969090173191
1004	6.34117054665475	-1.5587389610397
10042	8.13926350595268	4.05370529250836
10044	6.18459323108699	3.22761754704628
10045	5.88599173101456	3.25245675554709
10046	5.97901836313769	1.29297939049104
10048	9.24295706110524	3.14530692305359
10049	8.15775150683523	4.85675339351307
1005	4.60764155906144	-5.1805577708187
10050	4.23806430483013	-3.2628225059288
100507290	6.02275876535656	3.44038532519467
100507436	6.52540677211987	1.18654571499404
10051	9.62720928280335	4.92620884240853
10052	5.59374484562566	1.14121666506659
10053	7.84887299635812	4.60304962932624
10054	9.31269409930954	4.51805844520711
10056	9.42038821090597	3.39654566299099
10057	7.73899705664764	2.9918726659669
10059	8.71621718539165	3.7603295152293
1006	4.54769384170659	-4.10014520673441
10060	4.69681598086665	3.25873021918489
10061	7.65269395985081	3.12146576132661
10062	7.18744973052431	3.43519959007915
10066	8.52838351798394	3.88036548011501
