eset	rnaseq
100	7.60782044102587	2.85384062809676
1000	6.01172938461269	-0.91384339899761
10000	6.58116658987072	1.81672578509224
10001	7.32331930757297	1.66750967156031
10003	3.62776496611651	-3.20397666972848
10004	6.97069545051802	-0.672327215655107
10005	5.27314989134295	2.77221500684374
10006	3.54764257636384	3.31173774746799
10008	5.01120299083263	0.685600731923513
10009	3.56713424747452	1.03699108777897
10010	9.63353399962339	3.85404601524689
100101467	4.23666130768262	1.5862466442695
10011	7.73611927257867	3.70581705182531
10013	8.2117241796537	4.09082299195742
100131213	3.87448796930659	-0.279763184147274
10014	6.73898615169379	4.06606140137325
10015	7.50305465532769	3.26489392224935
10017	4.20430121504641	-2.18058596337602
10018	7.43836394934886	1.5189611453316
1002	4.70363792332582	0.479662836938529
10021	5.13388900512255	-2.46232678866496
10024	6.58454686037095	3.55766048031149
10025	5.94392092255608	3.93798927132041
10026	3.512916093102	1.05631721083875
100287569	4.60095767999388	0.707638098118511
100289635	5.64672906708981	1.67025933490845
10036	6.50396324917882	3.66866693210352
10038	7.84126746789876	2.46565848672504
1004	4.01695029526416	-1.5587389610397
10042	7.96361794811861	4.05370529250836
10044	4.20284306586347	3.22761754704628
10045	5.88599173101456	3.25245675554709
10048	4.22840242032951	3.14530692305359
1005	4.60764155906144	-5.1805577708187
10050	4.23806430483013	-3.2628225059288
100507290	6.02275876535656	3.44038532519467
10051	9.62720928280335	4.92620884240853
10052	5.22292706345129	1.14121666506659
10053	7.69890608120146	4.60304962932624
10054	6.19504674949122	4.51805844520711
10056	5.88079852452908	3.39654566299099
10057	7.73899705664764	2.9918726659669
10059	3.46806431903508	3.7603295152293
1006	4.11372222520214	-4.10014520673441
10060	3.72181727848809	3.25873021918489
10061	6.38267691721238	3.12146576132661
10066	8.52838351798394	3.88036548011501
10068	5.98488050391338	3.08088139476826
10069	7.94398634066633	2.20657735991733
10071	4.59050321552229	-4.71543808163234
10072	8.08612823200551	3.46848176991466
10075	6.72819845246809	3.34125963636716
10077	6.0571804489977	-0.241780006745904
10079	6.20666558307812	2.18078023901915
10081	7.49102040048406	3.55944349275185
10082	7.23014677308766	-0.838451876661935
10083	5.73288218334902	0.604941104269447
10084	6.51600567860168	5.23632150452762
10087	6.87591039335011	1.273538865694
10089	5.4050215474729	-0.787929872744776
1009	4.81199119243831	2.11872168417436
10090	4.97870679679138	0.234662011507169
10092	11.1452276506245	5.45779825680483
10097	10.2798178194414	4.74690118042518
10098	6.84760888229315	1.44256048652776
10099	5.90344850033701	3.52775072008939
101	7.35885890607558	3.00649420152897
10100	3.63788315478269	0.362784670176436
10105	9.66982344391061	4.18677330984688
10106	9.64482093299795	3.9762809177131
10109	9.84782186355267	6.39431139490326
10110	6.22045366484694	-0.0695553403041468
10111	5.63196142486741	3.57578159076017
10114	5.85577255716942	2.19757437212939
10116	6.18779464061716	1.84430421243018
10117	3.36864225571673	-4.99411079727782
10121	8.56950317782266	4.48575843297824
10123	8.86764987316218	4.3345106497875
10128	8.69930046538224	3.1356770069079
10129	4.7989127144906	-0.510662240186331
10130	11.1215418661128	5.55688556627157
10131	3.88427246542433	5.33454567277378
10133	9.01088117334229	3.95173581398369
10135	9.03184227865446	3.11464666273471
10138	5.71655875140252	1.42124695728448
10139	6.74032999989752	3.66056425192277
10140	8.92987798182502	3.52780170559185
10142	3.93483420666868	5.03623724656842
10144	4.68024795735547	0.850179923102501
10146	8.50498531250485	3.39466991216012
10147	8.25544324192574	3.55984009640282
10150	6.95265448962248	3.05689185710185
10152	6.76970349073747	2.54213294420253
10154	5.60190002813181	1.16754750255361
10157	5.59988677522662	1.42252579027183
10158	8.24590435683978	5.1173298026035
10160	4.21790427599293	4.80548750262403
10161	8.05127185913476	1.8997616961345
10162	6.89574210614565	3.75454548946919
10163	9.94201761612232	4.95580671205186
10165	4.39131564964599	1.90544336814768
10168	3.74767090392884	1.03985659179858
10170	5.3669344442258	-1.4758380581532
10171	4.30470688463074	2.07770957978992
10174	6.6076556636105	5.28490326596934
10175	9.34358240702638	3.28155711615986
10178	4.44906352344278	-3.51788454288059
10179	5.09061960200463	1.1588677041536
10180	7.28618031824885	4.65157160492968
10181	9.10956242373711	4.40467248850762
10186	7.43486787065677	2.68499984698971
10188	7.72438019576285	5.5838800294619
10189	8.36114424264611	4.79266339407714
10190	9.34126635777561	2.02174193849487
10193	4.76771606194865	2.57132154295528
10194	6.78391377361882	-0.908286049596014
10198	5.6101738463527	0.33345748279598
102	6.38184356932262	2.10672101075549
10202	4.79901777811145	-0.526131596679979
10203	6.91191341483142	0.29726505612427
10204	7.08147519622561	5.51659316730293
10205	6.25327049903369	3.22544001281974
10207	5.67956627143858	2.84652433265111
10208	4.22419897534136	1.47518772098557
10209	5.9913170016119	6.32436291818202
1021	8.02626912909717	1.76117711453219
10211	10.3153026366049	3.18676992853766
10214	4.50110606237049	-6.0533944488722
10215	4.24670346700745	-4.60145495825062
10217	7.87246095460825	3.32077271276158
10220	5.61706392713615	0.273259604535168
10221	4.29475478091395	3.51968823840175
10224	7.48830506324447	0.649816847533485
10225	4.82072223282426	0.899438565148676
10228	6.4019379759871	2.73646938427653
10229	5.55893557890492	1.24907868536329
10234	6.17626382926989	-0.137011428459626
10235	4.81502517548195	2.83545664300383
10236	6.57404508066758	3.17773630623631
10238	8.19129632184795	3.8387161704066
10241	6.28413934020742	3.19364742290191
10242	3.52844951602841	-3.06005770603429
10243	5.67680133133424	0.384254915842471
10244	4.00956182489379	2.71265532416484
10245	8.55787183422599	4.64652064742231
10247	8.03463920262914	3.35910407574878
10249	4.42350132472256	-3.82153062921526
1025	3.64866620016317	4.23615761513903
10252	7.71404611432067	2.66798295709776
10254	6.80927331968407	0.967274904619772
10257	6.55910931990762	-0.496951388172134
10260	4.22746651524009	-0.13881837844018
10270	7.37466925547756	3.23174584900391
10274	7.38240858182995	1.90799246879618
10276	10.550135367981	4.26088350580451
10277	5.16450606115128	2.28005254506624
10278	7.43203257145089	4.5910272223186
10280	7.82460309327147	5.48700140224157
10283	3.71207042634946	2.61687214761916
10284	10.3283036175349	3.83917905509191
10288	4.03162834351341	1.5067696441476
10289	3.71634973235291	2.9994133020295
1029	9.22144492836707	5.96122111736971
10291	8.0822970035834	3.40525136908188
10294	6.56204814343595	3.08691745326669
10297	5.94929515481624	-1.32989118754133
10298	3.91812897002559	5.94370231577298
10299	8.12740883467005	3.13362488263388
1030	6.74017709789662	2.92111749492408
10300	5.28224581817646	3.09523169424732
10311	7.66260852916132	1.98244698000619
10313	8.85442451479172	4.67443984745691
10314	9.11371108776084	1.80861685783708
10317	4.08064445928227	-2.25198103051189
10318	8.09025207855372	4.72428155144036
10319	4.75482550956669	0.011138073000699
1032	6.74891340178513	3.08701099082704
10320	5.01021235809637	1.00612661073297
10324	5.01641556645386	-2.59814601171311
10326	4.85088245686298	0.728440432508966
10328	8.63870700811647	2.61658922165504
10329	4.66931956800177	1.40456186224471
1033	8.09338787990961	2.58544549526426
10330	4.31769102600076	4.79415385598737
10333	4.97937194478316	0.56735251981066
10335	5.30141646022983	1.40088994805277
10336	5.76918472131322	3.31163945775645
10342	10.8338835110955	5.0348366911104
10345	3.55089734891511	-2.59617288107127
10350	3.72713416824208	-0.687503873219072
10351	4.04219216787691	-2.04085108808975
10352	6.60493611853469	1.4277379091928
1036	5.27102568831239	-0.394219771128948
10362	7.70367445434212	5.9562754818973
10370	7.09229920522721	3.82276693393624
10371	3.36915481652366	-2.4277272327058
10380	6.71446742642636	3.45629899426498
10384	5.40562138966695	2.50296207685785
10385	4.50954235793486	1.98108314710684
10388	3.42389658930931	4.45274708603545
10390	7.72924157304822	2.45346595802711
10392	7.40704814167403	1.83423999678159
10393	6.15886801315801	1.27683359483286
10395	6.83657861994416	1.59036400717971
10396	4.93169913307054	-0.101618589792396
104	7.09009158497314	2.5080730272447
1040	7.39553738769616	1.9723998089644
10402	6.03766274169686	2.03289995921723
10404	8.07590753505842	4.15282253358848
10406	4.45017931596055	4.48185193880567
10408	4.62209818410526	-1.47303802025039
1041	4.38728549061066	-1.14569429300091
10411	6.2388515355819	1.05049165842716
10413	8.32443353985871	3.45678187407752
10418	4.29540821171197	0.837774803625801
10421	7.58114875216452	3.4549433865999
10424	7.26706808484707	2.71535811854727
10425	7.00052788462566	3.25752251554206
10426	5.15980005187484	2.18418402011946
10428	4.52542954996238	4.44861550632403
1043	7.75753421069213	3.87393072907678
10432	8.18512480234722	2.63783117865442
10434	9.72231030429266	3.65521794691177
10435	7.31240000621973	2.51434062595614
10439	6.54522406336438	2.2201045474838
10440	3.33959852795677	3.70127339825978
10443	3.91827297638405	4.00066869327119
10444	5.29277134413146	3.64921053359282
10446	5.96822481124882	2.83561277214112
10450	5.94820074502513	3.34231413965753
10451	4.71631650830704	2.66216395488135
