Source.Name	Material.Type	Characteristics..Organism.	Term.Source.REF	Term.Accession.Number	Description	Comment.Sample_source_name.	Comment.Sample_characteristics.	Protocol.REF	Protocol.REF.1	Sample.Name	Material.Type.1	Protocol.REF.2	Extract.Name	Material.Type.2	Protocol.REF.3	Labeled.Extract.Name	Material.Type.3	Label	Hybridization.Name	Array.Design.REF	Scan.Name	Array.Data.File	Comment..ArrayExpress.FTP.file.	Normalization.Name	Derived.Array.Data.File	Comment..Derived.ArrayExpress.FTP.file.	Comment.CDF.
GSM329338.CEL	GSE13155GSM329338	whole_organism	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	placental villus tree:  gene expression data. Normal healthy term placenta	placental villus tree	Normal healthy term placenta	P-G13155-1	P-G13155-2	GSE13155GSM329338 sample	organism_part	P-G13155-4	GSE13155GSM329338 extract	total_RNA	P-G13155-3	GSE13155GSM329338 LE biotin	synthetic_RNA	biotin	Human Cesarean delivered term placental villus tree technical replicate 1	A-AFFY-44	GSM329338	GSM329338.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13155/E-GEOD-13155.raw.1.zip	GSE13155GSM329338 Norm	GSM329338.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13155/E-GEOD-13155.processed.1.zip	HG-U133_Plus_2.cdf
GSM329339.CEL	GSE13155GSM329339	whole_organism	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	placental villus tree:  gene expression data. Normal healthy term placenta	placental villus tree	Normal healthy term placenta	P-G13155-1	P-G13155-2	GSE13155GSM329339 sample	organism_part	P-G13155-4	GSE13155GSM329339 extract	total_RNA	P-G13155-3	GSE13155GSM329339 LE biotin	synthetic_RNA	biotin	Human Cesarean delivered term placental villus tree technical replicate 2	A-AFFY-44	GSM329339	GSM329339.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13155/E-GEOD-13155.raw.1.zip	GSE13155GSM329339 Norm	GSM329339.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13155/E-GEOD-13155.processed.1.zip	HG-U133_Plus_2.cdf
