SampleAccessionNumber	DataSetAccesionNumber	SampleType	CancerType	Outliers
GSM1416061.CEL.gz	GSM1416061	GSE58644	Cancer	Luminal A	NA
GSM1416062.CEL.gz	GSM1416062	GSE58644	Cancer	Luminal A	NA
GSM1416063.CEL.gz	GSM1416063	GSE58644	Cancer	TNBC	NA
GSM1416064.CEL.gz	GSM1416064	GSE58644	Cancer	Luminal A	NA
GSM1416065.CEL.gz	GSM1416065	GSE58644	Cancer	Luminal A	NA
GSM1416066.CEL.gz	GSM1416066	GSE58644	Cancer	Luminal B	NA
GSM1416067.CEL.gz	GSM1416067	GSE58644	Cancer	Luminal A	NA
GSM1416068.CEL.gz	GSM1416068	GSE58644	Cancer	Luminal A	NA
GSM1416069.CEL.gz	GSM1416069	GSE58644	Cancer	Luminal A	NA
GSM1416070.CEL.gz	GSM1416070	GSE58644	Cancer	TNBC	NA
GSM1416071.CEL.gz	GSM1416071	GSE58644	Cancer	Luminal A	NA
GSM1416072.CEL.gz	GSM1416072	GSE58644	Cancer	Luminal A	NA
GSM1416073.CEL.gz	GSM1416073	GSE58644	Cancer	TNBC	NA
GSM1416074.CEL.gz	GSM1416074	GSE58644	Cancer	Luminal B	NA
GSM1416075.CEL.gz	GSM1416075	GSE58644	Cancer	Luminal A	NA
GSM1416076.CEL.gz	GSM1416076	GSE58644	Cancer	TNBC	NA
GSM1416077.CEL.gz	GSM1416077	GSE58644	Cancer	Luminal A	NA
GSM1416078.CEL.gz	GSM1416078	GSE58644	Cancer	Luminal A	NA
GSM1416079.CEL.gz	GSM1416079	GSE58644	Cancer	Luminal A	NA
GSM1416080.CEL.gz	GSM1416080	GSE58644	Cancer	Luminal A	NA
GSM1416081.CEL.gz	GSM1416081	GSE58644	Cancer	Luminal A	NA
GSM1416082.CEL.gz	GSM1416082	GSE58644	Cancer	Luminal A	NA
GSM1416083.CEL.gz	GSM1416083	GSE58644	Cancer	Luminal A	NA
GSM1416084.CEL.gz	GSM1416084	GSE58644	Cancer	Luminal A	NA
GSM1416085.CEL.gz	GSM1416085	GSE58644	Cancer	Luminal A	NA
GSM1416086.CEL.gz	GSM1416086	GSE58644	Cancer	Luminal A	NA
GSM1416087.CEL.gz	GSM1416087	GSE58644	Cancer	Luminal A	NA
GSM1416088.CEL.gz	GSM1416088	GSE58644	Cancer	Luminal A	NA
GSM1416089.CEL.gz	GSM1416089	GSE58644	Cancer	Luminal A	NA
GSM1416090.CEL.gz	GSM1416090	GSE58644	Cancer	Luminal A	NA
GSM1416091.CEL.gz	GSM1416091	GSE58644	Cancer	TNBC	NA
GSM1416092.CEL.gz	GSM1416092	GSE58644	Cancer	TNBC	NA
GSM1416093.CEL.gz	GSM1416093	GSE58644	Cancer	TNBC	NA
GSM1416094.CEL.gz	GSM1416094	GSE58644	Cancer	TNBC	NA
GSM1416095.CEL.gz	GSM1416095	GSE58644	Cancer	TNBC	NA
GSM1416096.CEL.gz	GSM1416096	GSE58644	Cancer	TNBC	NA
GSM1416097.CEL.gz	GSM1416097	GSE58644	Cancer	Luminal A	NA
GSM1416098.CEL.gz	GSM1416098	GSE58644	Cancer	Luminal A	NA
GSM1416099.CEL.gz	GSM1416099	GSE58644	Cancer	Luminal A	NA
GSM1416100.CEL.gz	GSM1416100	GSE58644	Cancer	Luminal A	NA
GSM1416101.CEL.gz	GSM1416101	GSE58644	Cancer	TNBC	NA
GSM1416102.CEL.gz	GSM1416102	GSE58644	Cancer	TNBC	NA
GSM1416103.CEL.gz	GSM1416103	GSE58644	Cancer	TNBC	NA
GSM1416104.CEL.gz	GSM1416104	GSE58644	Cancer	Luminal A	NA
GSM1416105.CEL.gz	GSM1416105	GSE58644	Cancer	Luminal A	NA
GSM1416106.CEL.gz	GSM1416106	GSE58644	Cancer	Luminal B	NA
GSM1416107.CEL.gz	GSM1416107	GSE58644	Cancer	Luminal A	NA
GSM1416108.CEL.gz	GSM1416108	GSE58644	Cancer	TNBC	Yes
