ID	platform	platformAbbr
GSE65194	Affymetrix HG-U133 Plus 2.0	hgu133plus2
GSE19615	Affymetrix HG-U133 Plus 2.0	hgu133plus2
GSE58644	Affymetrix Human Gene 1.0 ST	hugene10st
GSE60785	Illumina HumanHT-12 V4.0	illuminaHumanv4
