entrezID	val
NR_036267	100422834	-2.78235804755778
NM_001005484	79501	-6.18357980227752
NR_026818	645520	-1.43113887665121
NR_046018	100287102	-1.62929706868278
NR_024540	653635	4.88181142613568
NR_128720	103504738	9.13824725912981
NM_001005224	26683	-5.30151992696136
NR_125957	101928626	-2.46222958514594
NR_039983	729737	3.9538969342946
NR_028325	100132062	1.7158625100296
NR_028327	100133331	2.93856180402275
NR_106781	102465432	15.5198648767709
NR_033908	100288069	2.2407463470602
NR_103536	400728	-3.23445644432375
NR_024321	79854	0.624876105292885
NR_027055	284593	-0.329329600580059
NM_198317	339451	3.6345825591109
NM_152486	148398	0.110648458689868
NM_015658	26155	5.32459909307995
NM_005101	9636	7.13641332087514
NM_001205252	401934	0.956697499066578
NR_029639	406984	6.15015112657477
NR_038869	254099	-2.30107583964649
NR_029834	406983	4.12177414312593
NR_029957	554210	7.29017227056679
NM_017891	54991	3.9689276388805
NM_003327	7293	3.03660985778531
NM_001014980	388581	0.493488405845251
NM_080605	126792	2.86187608077483
NM_152228	83756	0.0214143704406803
NM_030649	116983	5.54454916778084
NR_106784	102465434	5.00414837601954
NM_001029885	80772	4.68751729101789
NM_004421	1855	5.75858242569218
NR_106866	102466740	8.41167126133457
NM_153339	126789	3.49186366823509
NR_106785	102465435	6.54171046023125
NR_015434	148413	2.95106083852828
NM_017971	55052	4.31707466652673
NM_001146685	643965	-1.33789286467186
NM_001039211	219293	4.00209678312026
NM_031921	83858	4.59826957776404
NM_001114748	339453	-0.397782544793211
NM_001242659	643988	3.64901210386077
NM_014188	29101	5.69912831339569
NM_006983	8510	1.34709511588724
NR_002946	8511	-3.46710619139289
NM_138705	163688	0.649949711748212
NM_178545	339456	1.25741447947748
NM_001304360	85452	-3.52605755390467
NM_000815	2563	0.490606519812709
NM_003036	6497	3.99476653355663
NR_024489	100129534	0.21041720895643
NM_007033	11079	3.73078152141528
NM_001010926	388585	-2.02891863468567
NM_018216	55229	2.15391888108065
NR_121638	100996583	-1.7755393665088
NM_001242672	100287898	-3.50752061803179
NM_014448	27237	3.11534902028506
NR_037844	115110	0.516714080670835
NM_033467	79258	-2.18712669917463
NM_017818	49856	2.50118005354338
NM_182752	127262	3.4229156180962
NM_152492	148870	-4.20182145975367
NM_020710	57470	3.57158444304314
NM_001409	1953	3.30047002269476
NR_030277	693135	-2.54133529280885
NM_014704	9731	2.46315842279652
NM_207356	339448	3.01689666992001
NR_024455	100133612	0.398525603980504
NR_039838	100616421	0.11850883233877
NM_015557	26038	-0.48513950541489
NR_125997	102724450	-1.25016968594825
NM_000983	6146	5.39761374053695
NR_103534	148645	-1.64041497205875
NM_207370	387509	2.25393095087162
NM_207396	388591	2.15135656844096
NM_012405	23463	2.92211990417832
NM_019089	54626	1.38849278480543
NM_031475	83715	2.41727485041935
NM_024654	79707	2.20677715355665
NM_153812	148479	2.20677646755181
NM_014851	9903	3.69046484750921
NM_018198	55735	3.68293463837603
NM_004781	9341	3.48919621760276
NM_001561	3604	-0.130029975405277
NR_125998	102724539	-4.7095170873669
NM_018948	54206	3.7800680161513
NM_001080397	50651	-0.797454429516075
NM_024980	80045	1.43041488056521
NR_125999	102724552	-1.75337194902659
NM_025106	80176	3.5088305648132
NM_032315	84275	2.41096156118594
NR_038351	100505975	-1.55598439106464
NR_106786	102465436	2.72677062065467
NM_052960	116362	3.19382037464816
NM_005026	5293	2.15260442239223
NR_027045	644997	-2.16316331070384
NM_032368	84328	-0.24905121655923
NR_049882	100847055	2.17311104887847
NR_125730	103625684	5.58643457393609
NM_001302	1325	-0.901852543035217
NM_004565	5195	3.61168420957283
NM_001170754	148345	0.167838490147367
NM_007375	23435	3.95712469743843
NM_003132	6723	6.12964600763768
NM_020780	57540	-1.24376895119169
NR_104624	101929181	-1.26761062195653
NM_013319	29914	1.78161938805638
NM_004958	2475	2.16775424391431
NR_046600	100873935	-5.03650225896677
NM_021146	10218	-2.83034268750088
NM_198545	374946	-0.775106104631787
NM_018438	26270	3.74055726572756
NM_002521	4879	-4.92720656260835
NM_012168	26232	3.92206510858992
NM_138346	90231	5.5406161691572
NM_021933	60672	4.79899478376591
NR_106787	102466982	4.58896058109757
NM_001010881	284498	-2.302486532053
NR_037806	100379251	-0.950991056143974
NR_126000	102724659	-0.340575371483928
NM_005957	4524	1.62041372299505
NM_006172	4878	-1.14613340541107
NM_000302	5351	6.62682076574302
NR_107000	102465836	-2.26258294811762
NM_001066	7133	3.10909811614472
NR_039775	100616438	4.37949079420911
NM_004753	9249	4.43788537649391
NR_106788	102466722	5.43088175715955
NM_001302551	101060301	-2.01256433715534
NM_001136561	440563	-4.26450601032136
NM_001099851	391004	-6.46426081580936
NM_001010847	126755	-5.67865224815111
NR_003022	677882	0.572422087313873
NR_027136	200197	0.649280646553523
NM_052929	114827	-0.287583094658115
NM_033440	63036	-5.92822628495658
